agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q Action Penalty,0,0,1.0,0.0014771048744460858,677.0,677.0
Q Action Penalty,0,1,2.0,0.009174311926605505,786.0,109.0
Q Action Penalty,0,2,3.0,0.0049261083743842365,989.0,203.0
Q Action Penalty,0,3,4.0,0.00510204081632653,1185.0,196.0
Q Action Penalty,0,4,5.0,0.0016207455429497568,1802.0,617.0
Q Action Penalty,0,5,6.0,0.0058823529411764705,1972.0,170.0
Q Action Penalty,0,6,7.0,0.004149377593360996,2213.0,241.0
Q Action Penalty,0,7,8.0,0.009708737864077669,2316.0,103.0
Q Action Penalty,0,8,9.0,0.0055248618784530384,2497.0,181.0
Q Action Penalty,0,9,10.0,0.00909090909090909,2607.0,110.0
Q Action Penalty,0,10,11.0,0.016129032258064516,2669.0,62.0
Q Action Penalty,0,11,12.0,0.008333333333333333,2789.0,120.0
Q Action Penalty,0,12,13.0,0.014705882352941176,2857.0,68.0
Q Action Penalty,0,13,14.0,0.01282051282051282,2935.0,78.0
Q Action Penalty,0,14,15.0,0.009523809523809525,3040.0,105.0
Q Action Penalty,0,15,16.0,0.007518796992481203,3173.0,133.0
Q Action Penalty,0,16,17.0,0.017543859649122806,3230.0,57.0
Q Action Penalty,0,17,18.0,0.013513513513513514,3304.0,74.0
Q Action Penalty,0,18,19.0,0.008264462809917356,3425.0,121.0
Q Action Penalty,0,19,20.0,0.01098901098901099,3516.0,91.0
Q Action Penalty,0,20,21.0,0.014705882352941176,3584.0,68.0
Q Action Penalty,0,21,22.0,0.022222222222222223,3629.0,45.0
Q Action Penalty,0,22,23.0,0.010309278350515464,3726.0,97.0
Q Action Penalty,0,23,24.0,0.016129032258064516,3788.0,62.0
Q Action Penalty,0,24,25.0,0.008620689655172414,3904.0,116.0
Q Action Penalty,0,25,26.0,0.01282051282051282,3982.0,78.0
Q Action Penalty,0,26,27.0,0.027777777777777776,4018.0,36.0
Q Action Penalty,0,27,28.0,0.013157894736842105,4094.0,76.0
Q Action Penalty,0,28,29.0,0.024390243902439025,4135.0,41.0
Q Action Penalty,0,29,30.0,0.03571428571428571,4163.0,28.0
Q Action Penalty,0,30,31.0,0.011627906976744186,4249.0,86.0
Q Action Penalty,0,31,32.0,0.03125,4281.0,32.0
Q Action Penalty,0,32,33.0,0.02040816326530612,4330.0,49.0
Q Action Penalty,0,33,34.0,0.0125,4410.0,80.0
Q Action Penalty,0,34,35.0,0.02631578947368421,4448.0,38.0
Q Action Penalty,0,35,36.0,0.03571428571428571,4476.0,28.0
Q Action Penalty,0,36,37.0,0.024390243902439025,4517.0,41.0
Q Action Penalty,0,37,38.0,0.019230769230769232,4569.0,52.0
Q Action Penalty,0,38,39.0,0.019230769230769232,4621.0,52.0
Q Action Penalty,0,39,40.0,0.03225806451612903,4652.0,31.0
Q Action Penalty,0,40,41.0,0.024390243902439025,4693.0,41.0
Q Action Penalty,0,41,42.0,0.034482758620689655,4722.0,29.0
Q Action Penalty,0,42,43.0,0.024390243902439025,4763.0,41.0
Q Action Penalty,0,43,44.0,0.02564102564102564,4802.0,39.0
Q Action Penalty,0,44,45.0,0.016129032258064516,4864.0,62.0
Q Action Penalty,0,45,46.0,0.016129032258064516,4926.0,62.0
Q Action Penalty,0,46,47.0,0.027777777777777776,4962.0,36.0
Q Action Penalty,0,47,48.0,0.041666666666666664,4986.0,24.0
Q Action Penalty,0,48,49.0,0.030303030303030304,5019.0,33.0
Q Action Penalty,0,49,50.0,0.043478260869565216,5042.0,23.0
Q Action Penalty,0,50,51.0,0.02702702702702703,5079.0,37.0
Q Action Penalty,0,51,52.0,0.034482758620689655,5108.0,29.0
Q Action Penalty,0,52,53.0,0.043478260869565216,5131.0,23.0
Q Action Penalty,0,53,54.0,0.037037037037037035,5158.0,27.0
Q Action Penalty,0,54,55.0,0.045454545454545456,5180.0,22.0
Q Action Penalty,0,55,56.0,0.037037037037037035,5207.0,27.0
Q Action Penalty,0,56,57.0,0.045454545454545456,5229.0,22.0
Q Action Penalty,0,57,58.0,0.047619047619047616,5250.0,21.0
Q Action Penalty,0,58,59.0,0.02702702702702703,5287.0,37.0
Q Action Penalty,0,59,60.0,0.03125,5319.0,32.0
Q Action Penalty,0,60,61.0,0.038461538461538464,5345.0,26.0
Q Action Penalty,0,61,62.0,0.043478260869565216,5368.0,23.0
Q Action Penalty,0,62,63.0,0.034482758620689655,5397.0,29.0
Q Action Penalty,0,63,64.0,0.02857142857142857,5432.0,35.0
Q Action Penalty,0,64,65.0,0.03125,5464.0,32.0
Q Action Penalty,0,65,66.0,0.045454545454545456,5486.0,22.0
Q Action Penalty,0,66,67.0,0.03333333333333333,5516.0,30.0
Q Action Penalty,0,67,68.0,0.03125,5548.0,32.0
Q Action Penalty,0,68,69.0,0.038461538461538464,5574.0,26.0
Q Action Penalty,0,69,70.0,0.05,5594.0,20.0
Q Action Penalty,0,70,71.0,0.045454545454545456,5616.0,22.0
Q Action Penalty,0,71,72.0,0.038461538461538464,5642.0,26.0
Q Action Penalty,0,72,73.0,0.041666666666666664,5666.0,24.0
Q Action Penalty,0,73,74.0,0.019230769230769232,5718.0,52.0
Q Action Penalty,0,74,75.0,0.03333333333333333,5748.0,30.0
Q Action Penalty,0,75,76.0,0.04,5773.0,25.0
Q Action Penalty,0,76,77.0,0.045454545454545456,5795.0,22.0
Q Action Penalty,0,77,78.0,0.037037037037037035,5822.0,27.0
Q Action Penalty,0,78,79.0,0.05,5842.0,20.0
Q Action Penalty,0,79,80.0,0.05,5862.0,20.0
Q Action Penalty,0,80,81.0,0.05,5882.0,20.0
Q Action Penalty,0,81,82.0,0.041666666666666664,5906.0,24.0
Q Action Penalty,0,82,83.0,0.038461538461538464,5932.0,26.0
Q Action Penalty,0,83,84.0,0.041666666666666664,5956.0,24.0
Q Action Penalty,0,84,85.0,0.045454545454545456,5978.0,22.0
Q Action Penalty,0,85,86.0,0.047619047619047616,5999.0,21.0
Q Action Penalty,0,86,87.0,0.043478260869565216,6022.0,23.0
Q Action Penalty,0,87,88.0,0.041666666666666664,6046.0,24.0
Q Action Penalty,0,88,89.0,0.05,6066.0,20.0
Q Action Penalty,0,89,90.0,0.03571428571428571,6094.0,28.0
Q Action Penalty,0,90,91.0,0.045454545454545456,6116.0,22.0
Q Action Penalty,0,91,92.0,0.03571428571428571,6144.0,28.0
Q Action Penalty,0,92,93.0,0.045454545454545456,6166.0,22.0
Q Action Penalty,0,93,94.0,0.05,6186.0,20.0
Q Action Penalty,0,94,95.0,0.041666666666666664,6210.0,24.0
Q Action Penalty,0,95,96.0,0.037037037037037035,6237.0,27.0
Q Action Penalty,0,96,97.0,0.05,6257.0,20.0
Q Action Penalty,0,97,98.0,0.05,6277.0,20.0
Q Action Penalty,0,98,99.0,0.05,6297.0,20.0
Q Action Penalty,0,99,100.0,0.045454545454545456,6319.0,22.0
Q Action Penalty,1,0,1.0,0.0049261083743842365,203.0,203.0
Q Action Penalty,1,1,2.0,0.001201923076923077,1035.0,832.0
Q Action Penalty,1,2,3.0,0.0033112582781456954,1337.0,302.0
Q Action Penalty,1,3,4.0,0.0072992700729927005,1474.0,137.0
Q Action Penalty,1,4,5.0,0.004830917874396135,1681.0,207.0
Q Action Penalty,1,5,6.0,0.008771929824561403,1795.0,114.0
Q Action Penalty,1,6,7.0,0.005235602094240838,1986.0,191.0
Q Action Penalty,1,7,8.0,0.0070921985815602835,2127.0,141.0
Q Action Penalty,1,8,9.0,0.007407407407407408,2262.0,135.0
Q Action Penalty,1,9,10.0,0.011904761904761904,2346.0,84.0
Q Action Penalty,1,10,11.0,0.007352941176470588,2482.0,136.0
Q Action Penalty,1,11,12.0,0.007352941176470588,2618.0,136.0
Q Action Penalty,1,12,13.0,0.011494252873563218,2705.0,87.0
Q Action Penalty,1,13,14.0,0.015625,2769.0,64.0
Q Action Penalty,1,14,15.0,0.011235955056179775,2858.0,89.0
Q Action Penalty,1,15,16.0,0.024390243902439025,2899.0,41.0
Q Action Penalty,1,16,17.0,0.009708737864077669,3002.0,103.0
Q Action Penalty,1,17,18.0,0.0125,3082.0,80.0
Q Action Penalty,1,18,19.0,0.014705882352941176,3150.0,68.0
Q Action Penalty,1,19,20.0,0.017857142857142856,3206.0,56.0
Q Action Penalty,1,20,21.0,0.013888888888888888,3278.0,72.0
Q Action Penalty,1,21,22.0,0.010101010101010102,3377.0,99.0
Q Action Penalty,1,22,23.0,0.022222222222222223,3422.0,45.0
Q Action Penalty,1,23,24.0,0.00819672131147541,3544.0,122.0
